word,tags1
얼다,TOPIK 1
얼마,TOPIK 1
얼마나,TOPIK 1
얼음,TOPIK 1
엄마,TOPIK 1
없다,TOPIK 1
엉덩이,TOPIK 1
에어컨,TOPIK 1
엘리베이터,TOPIK 1
여권,TOPIK 1
여기,TOPIK 1
여기저기,TOPIK 1
여덟,TOPIK 1
여동생,TOPIK 1
여든,TOPIK 1
여러,TOPIK 1
여러분,TOPIK 1
여름,TOPIK 1
여보세요,TOPIK 1
여섯,TOPIK 1
여성,TOPIK 1
여자,TOPIK 1
여쭙다,TOPIK 1
여학생,TOPIK 1
여행,TOPIK 1
여행사,TOPIK 1
여행지,TOPIK 1
역,TOPIK 1
역사,TOPIK 1
역시,TOPIK 1
연결,TOPIK 1
연극,TOPIK 1
연락,TOPIK 1
연락처,TOPIK 1
연말,TOPIK 1
연세,TOPIK 1
연습,TOPIK 1
연예인,TOPIK 1
연필,TOPIK 1
연휴,TOPIK 1
열,TOPIK 1
열,TOPIK 1
열다,TOPIK 1
열쇠,TOPIK 1
열심히,TOPIK 1
열차,TOPIK 1
열흘,TOPIK 1
엽서,TOPIK 1
영,TOPIK 1
영국,TOPIK 1
영수증,TOPIK 1
영어,TOPIK 1
영하,TOPIK 1
영화,TOPIK 1
영화관,TOPIK 1
영화배우,TOPIK 1
옆,TOPIK 1
옆집,TOPIK 1
예매,TOPIK 1
예쁘다,TOPIK 1
예순,TOPIK 1
예술,TOPIK 1
예습,TOPIK 1
예약,TOPIK 1
옛,TOPIK 1
옛날,TOPIK 1
오늘,TOPIK 1
오다,TOPIK 1
오래,TOPIK 1
오래간만,TOPIK 1
오래되다,TOPIK 1
오랜만,TOPIK 1
오랫동안,TOPIK 1
오렌지,TOPIK 1
오르다,TOPIK 1
오른손,TOPIK 1
오른쪽,TOPIK 1
오빠,TOPIK 1
오십,TOPIK 1
오월,TOPIK 1
오이,TOPIK 1
오전,TOPIK 1
오후,TOPIK 1
온도,TOPIK 1
올라가다,TOPIK 1
올라오다,TOPIK 1
올리다,TOPIK 1
올림,TOPIK 1
올림픽,TOPIK 1
올해,TOPIK 1
옳다,TOPIK 1
옷,TOPIK 1
옷걸이,TOPIK 1
옷장,TOPIK 1
와,TOPIK 1
와이셔츠,TOPIK 1
완전히,TOPIK 1
왕,TOPIK 1
왜,TOPIK 1
왜냐하면,TOPIK 1
외국,TOPIK 1
외국어,TOPIK 1
외국인,TOPIK 1
외롭다,TOPIK 1
외우다,TOPIK 1
외출,TOPIK 1
왼손,TOPIK 1
왼쪽,TOPIK 1
요금,TOPIK 1
요리,TOPIK 1
요리사,TOPIK 1
요일,TOPIK 1
요즘,TOPIK 1
우동,TOPIK 1
우리,TOPIK 1
우리나라,TOPIK 1
우산,TOPIK 1
우유,TOPIK 1
우체국,TOPIK 1
우표,TOPIK 1
운동,TOPIK 1
운동복,TOPIK 1
운동장,TOPIK 1
운동화,TOPIK 1
운전,TOPIK 1
운전사,TOPIK 1
울다,TOPIK 1
울산,TOPIK 1
울음,TOPIK 1
움직이다,TOPIK 1
웃다,TOPIK 1
웃음,TOPIK 1
원,TOPIK 1
원피스,TOPIK 1
원하다,TOPIK 1
월급,TOPIK 1
월요일,TOPIK 1
위쪽,TOPIK 1
위치,TOPIK 1
위험,TOPIK 1
유명,TOPIK 1
유월,TOPIK 1
유치원,TOPIK 1
유학,TOPIK 1
유학생,TOPIK 1
유행,TOPIK 1
육,TOPIK 1
육교,TOPIK 1
육십,TOPIK 1
윷놀이,TOPIK 1
은행,TOPIK 1
음,TOPIK 1
음료,TOPIK 1
음료수,TOPIK 1
